hospName,topWait,updateTime
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,28/10/2019 11:45pm
Caritas Medical Centre,Over 2 hours,28/10/2019 11:45pm
Kwong Wah Hospital,Over 2 hours,28/10/2019 11:45pm
North District Hospital,Over 3 hours,28/10/2019 11:45pm
North Lantau Hospital,Over 1 hour,28/10/2019 11:45pm
Princess Margaret Hospital,Over 3 hours,28/10/2019 11:45pm
Pok Oi Hospital,Over 6 hours,28/10/2019 11:45pm
Prince of Wales Hospital,Over 5 hours,28/10/2019 11:45pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,28/10/2019 11:45pm
Queen Elizabeth Hospital,Over 4 hours,28/10/2019 11:45pm
Queen Mary Hospital,Over 3 hours,28/10/2019 11:45pm
Ruttonjee Hospital,Over 1 hour,28/10/2019 11:45pm
St John Hospital,Around 1 hour,28/10/2019 11:45pm
Tseung Kwan O Hospital,Over 3 hours,28/10/2019 11:45pm
Tuen Mun Hospital,Over 6 hours,28/10/2019 11:45pm
Tin Shui Wai Hospital,Over 2 hours,28/10/2019 11:45pm
United Christian Hospital,Over 7 hours,28/10/2019 11:45pm
Yan Chai Hospital,Over 2 hours,28/10/2019 11:45pm
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 12:00am
Caritas Medical Centre,Over 2 hours,29/10/2019 12:00am
Kwong Wah Hospital,Over 2 hours,29/10/2019 12:00am
North District Hospital,Over 3 hours,29/10/2019 12:00am
North Lantau Hospital,Over 1 hour,29/10/2019 12:00am
Princess Margaret Hospital,Over 3 hours,29/10/2019 12:00am
Pok Oi Hospital,Over 6 hours,29/10/2019 12:00am
Prince of Wales Hospital,Over 5 hours,29/10/2019 12:00am
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,29/10/2019 12:00am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 12:00am
Queen Mary Hospital,Over 3 hours,29/10/2019 12:00am
Ruttonjee Hospital,Over 2 hours,29/10/2019 12:00am
St John Hospital,Around 1 hour,29/10/2019 12:00am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 12:00am
Tuen Mun Hospital,Over 6 hours,29/10/2019 12:00am
Tin Shui Wai Hospital,Over 2 hours,29/10/2019 12:00am
United Christian Hospital,Over 7 hours,29/10/2019 12:00am
Yan Chai Hospital,Over 2 hours,29/10/2019 12:00am
Alice Ho Miu Ling Nethersole Hospital,Over 2 hours,29/10/2019 12:15am
Caritas Medical Centre,Over 1 hour,29/10/2019 12:15am
Kwong Wah Hospital,Over 2 hours,29/10/2019 12:15am
North District Hospital,Over 3 hours,29/10/2019 12:15am
North Lantau Hospital,Over 1 hour,29/10/2019 12:15am
Princess Margaret Hospital,Over 3 hours,29/10/2019 12:15am
Pok Oi Hospital,Over 6 hours,29/10/2019 12:15am
Prince of Wales Hospital,Over 5 hours,29/10/2019 12:15am
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,29/10/2019 12:15am
Queen Elizabeth Hospital,Over 4 hours,29/10/2019 12:15am
Queen Mary Hospital,Over 3 hours,29/10/2019 12:15am
Ruttonjee Hospital,Over 2 hours,29/10/2019 12:15am
St John Hospital,Around 1 hour,29/10/2019 12:15am
Tseung Kwan O Hospital,Over 3 hours,29/10/2019 12:15am
Tuen Mun Hospital,Over 6 hours,29/10/2019 12:15am
Tin Shui Wai Hospital,Over 3 hours,29/10/2019 12:15am
United Christian Hospital,Over 7 hours,29/10/2019 12:15am
